,prune_iter,tot_sparsity,tot_sparsity_pruned_layers,size_mb,iou_train_loss,iou_val_loss,test_rmse,exec_time_avg
0,0,0.19934609919259944,0.2,14.194285,0.40144406229841945,0.43638702801295687,0.041441792721698095,0.026227828019704573
1,1,0.358822978546679,0.36,11.374061,0.4079045478035422,0.4421112934748332,0.04232484654529628,0.026188009060346164
2,2,0.4864048891910929,0.48800040849673204,9.118125,0.4307914773623149,0.4500991900761922,0.04446721370616377,0.026102977532606857
3,3,0.5884700105454738,0.5904003267973856,7.313389,0.47356223826314886,0.47626502173287527,0.04688193883598809,0.02609511185915042
4,4,0.6701221076289785,0.6723202614379085,5.869421,0.5080234794055715,0.49941466252009076,0.04999613983753741,0.02622746916917654
5,5,0.7354429709734815,0.7378553921568628,4.714285,0.5578979136897069,0.5347161917459398,0.05380511811602429,0.026371813584596684
6,6,0.7877000688102344,0.7902839052287581,3.790125,0.600763642320446,0.5540555119514465,0.05894406603607254,0.026175358050908797
7,7,0.8295053399184863,0.8322263071895425,3.050861,0.6431129796832216,0.5840868438993182,0.06216698792775033,0.02602651455463507
8,8,0.8629495568050879,0.86578022875817,2.459437,0.6862814286175896,0.6106972211883182,0.06690927001944322,0.0261141225313529
9,9,0.8897061517978201,0.892624591503268,1.986349,0.7136016943875481,0.6449097423326402,0.07050787882947453,0.026512619165273813
